trip_month,cohort_month,trip_year,trip_month_num,pickup_location_id,total_trips,avg_fare,total_revenue,avg_tip
2009-01-01,2009-01-01,2009,1,146,1,45,45.3,0
2009-01-01,2009-01-01,2009,1,246,1,6,12.25,2.45
2009-01-01,2009-01-01,2009,1,137,1,6,9.3,0
2009-01-01,2009-01-01,2009,1,163,2,7.25,21.6,0
2009-01-01,2009-01-01,2009,1,13,2,15.25,37.1,0
2009-01-01,2009-01-01,2009,1,233,1,20,28.56,4.76
2009-01-01,2009-01-01,2009,1,140,1,4.5,8.8,0
2009-01-01,2009-01-01,2009,1,138,5,32,242.66,6.03
2009-01-01,2009-01-01,2009,1,70,1,8,8.8,0
2009-01-01,2009-01-01,2009,1,186,2,14.75,37.1,0
2009-01-01,2009-01-01,2009,1,48,1,60.5,82.95,0
2009-01-01,2009-01-01,2009,1,263,2,7,27.52,2.96
2009-01-01,2009-01-01,2009,1,142,3,7,34.46,0.52
2009-01-01,2009-01-01,2009,1,262,2,12,33.86,1.13
2009-01-01,2009-01-01,2009,1,234,1,9,16,3.2
2009-01-01,2009-01-01,2009,1,87,1,8,14.16,2.36
2009-01-01,2009-01-01,2009,1,229,1,11.5,14.8,0
2009-01-01,2009-01-01,2009,1,170,1,3,9.49,2.19
2009-01-01,2009-01-01,2009,1,236,1,7,10.3,0
2009-01-01,2009-01-01,2009,1,239,1,8.5,13.3,1
2009-01-01,2009-01-01,2009,1,100,2,35,93.85,0
2009-01-01,2009-01-01,2009,1,161,2,27.5,66.15,0
2021-12-01,2021-12-01,2021,12,140,2,5.5,22.81,2.11
2021-12-01,2021-12-01,2021,12,211,1,7.5,13.56,2.26
2021-12-01,2021-12-01,2021,12,263,1,16,23.76,3.96
2021-12-01,2021-12-01,2021,12,237,1,8.5,14.76,2.46
2021-12-01,2021-12-01,2021,12,239,2,8,30.86,3.63
2021-12-01,2021-12-01,2021,12,132,2,33.75,90.67,9.66
2021-12-01,2021-12-01,2021,12,144,1,6.5,10.3,0
2021-12-01,2021-12-01,2021,12,137,2,18.75,47.6,1.25
2021-12-01,2021-12-01,2021,12,41,2,5.75,14.1,0
2021-12-01,2021-12-01,2021,12,236,1,6,9.8,0
2021-12-01,2021-12-01,2021,12,148,1,6,11.76,1.96
2021-12-01,2021-12-01,2021,12,141,1,17.5,21.3,0
2021-12-01,2021-12-01,2021,12,107,1,10,13.8,0
2021-12-01,2021-12-01,2021,12,238,1,7.5,14.12,2.82
2021-12-01,2021-12-01,2021,12,186,1,7.5,13,1.7
2021-12-01,2021-12-01,2021,12,79,2,20.75,55.86,3.38
2021-12-01,2021-12-01,2021,12,249,1,14,23.14,5.34
2022-01-01,2022-01-01,2022,1,41,8076,11.49,123070.97,1.59
2022-01-01,2022-01-01,2022,1,138,58493,29.39,2487872.54,5.59
2022-01-01,2022-01-01,2022,1,141,76335,9.5,1153713.92,1.97
2022-01-01,2022-01-01,2022,1,114,29533,10.63,491079.18,2.28
2022-01-01,2022-01-01,2022,1,246,29523,10.93,500331.93,2.23
2022-01-01,2022-01-01,2022,1,158,16376,11.49,290164.8,2.46
2022-01-01,2022-01-01,2022,1,163,63461,10.35,1031952.84,2.12
2022-01-01,2022-01-01,2022,1,244,1851,16.4,38020.26,1.92
2022-01-01,2022-01-01,2022,1,140,61305,10.84,1019846.28,2.11
2022-01-01,2022-01-01,2022,1,4,2645,12.84,49990.69,2.37
2022-01-01,2022-01-01,2022,1,223,554,26.71,19362.29,3.87
2022-01-01,2022-01-01,2022,1,226,2059,19.15,49916.73,2.44
2022-01-01,2022-01-01,2022,1,256,642,18.16,15213.86,2.98
2022-01-01,2022-01-01,2022,1,230,67648,11.75,1218313.41,2.24
2022-01-01,2022-01-01,2022,1,14,119,40.23,5292.36,1.37
2022-01-01,2022-01-01,2022,1,74,7393,11.2,107774.16,1.14
2022-01-01,2022-01-01,2022,1,37,258,23.81,7664.39,3.3
2022-01-01,2022-01-01,2022,1,124,37,53.53,2351.9,6.64
2022-01-01,2022-01-01,2022,1,134,120,40.61,5907.59,5.22
